date,area,town,daily_cases,avg_cases,std_daily_cases,std_avg_cases
2020/3/11,North,Qiryat Shemona,0,0,0,0
2020/3/12,North,Qiryat Shemona,0,0,0,0
2020/3/13,North,Qiryat Shemona,0,0,0,0
2020/3/14,North,Qiryat Shemona,0,0,0,0
2020/3/15,North,Qiryat Shemona,0,0,0,0
2020/3/16,North,Qiryat Shemona,0,0,0,0
2020/3/17,North,Qiryat Shemona,0,0,0,0
2020/3/18,North,Qiryat Shemona,0,0,0,0
2020/3/19,North,Qiryat Shemona,15,2.142857143,67.07507937,9.582154197
2020/3/20,North,Qiryat Shemona,15,4.285714286,67.07507937,19.16430839
2020/3/21,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/3/22,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/3/23,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/3/24,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/3/25,North,Qiryat Shemona,0,4.285714286,0,19.16430839
2020/3/26,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/3/27,North,Qiryat Shemona,0,0,0,0
2020/3/28,North,Qiryat Shemona,0,0,0,0
2020/3/29,North,Qiryat Shemona,0,0,0,0
2020/3/30,North,Qiryat Shemona,0,0,0,0
2020/3/31,North,Qiryat Shemona,0,0,0,0
2020/4/1,North,Qiryat Shemona,15,2.142857143,67.07507937,9.582154197
2020/4/2,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/3,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/4,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/5,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/6,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/7,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/8,North,Qiryat Shemona,0,0,0,0
2020/4/9,North,Qiryat Shemona,0,0,0,0
2020/4/10,North,Qiryat Shemona,0,0,0,0
2020/4/11,North,Qiryat Shemona,0,0,0,0
2020/4/12,North,Qiryat Shemona,0,0,0,0
2020/4/13,North,Qiryat Shemona,15,2.142857143,67.07507937,9.582154197
2020/4/14,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/15,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/16,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/17,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/18,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/19,North,Qiryat Shemona,0,2.142857143,0,9.582154197
2020/4/20,North,Qiryat Shemona,0,0,0,0
2020/4/21,North,Qiryat Shemona,0,0,0,0
2020/4/22,North,Qiryat Shemona,0,0,0,0
2020/4/23,North,Qiryat Shemona,0,0,0,0
2020/4/24,North,Qiryat Shemona,0,0,0,0
2020/4/25,North,Qiryat Shemona,0,0,0,0
2020/4/26,North,Qiryat Shemona,0,0,0,0
2020/4/27,North,Qiryat Shemona,0,0,0,0
2020/4/28,North,Qiryat Shemona,0,0,0,0
2020/4/29,North,Qiryat Shemona,0,0,0,0
2020/4/30,North,Qiryat Shemona,0,0,0,0
2020/5/1,North,Qiryat Shemona,0,0,0,0
